#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#
#wave    flux         stdev           det
 55.5458  1.17050e-17  1.55724e-19      1
 55.5458  1.15385e-17  1.39370e-19      1
 55.6080  1.17773e-17  1.73901e-19      1
 55.6147  1.19266e-17  1.58280e-19      1
 55.6769  1.13383e-17  1.84705e-19      1
 55.6769  1.18525e-17  1.60588e-19      1
 55.7457  1.16434e-17  1.60352e-19      1
 55.7457  1.16729e-17  1.60174e-19      1
 55.8146  1.20903e-17  2.30176e-19      1
 55.8146  1.14746e-17  2.27841e-19      1
 55.8834  1.17265e-17  1.88661e-19      1
 55.8834  1.16656e-17  2.13442e-19      1
 55.9522  1.16798e-17  1.38936e-19      1
 55.9522  1.18531e-17  2.04879e-19      1
 56.0209  1.15305e-17  2.16890e-19      1
 56.0209  1.19292e-17  2.17046e-19      1
 56.0896  1.19217e-17  2.03477e-19      1
 56.0896  1.16514e-17  1.63772e-19      1
 56.1582  1.16938e-17  1.83213e-19      1
 56.1582  1.16670e-17  1.92160e-19      1
 56.2268  1.16287e-17  1.87244e-19      1
 56.2268  1.17854e-17  1.72951e-19      1
 56.2954  1.15910e-17  1.83288e-19      1
 56.2954  1.18763e-17  1.38875e-19      1
 56.3639  1.17067e-17  1.59269e-19      1
 56.3639  1.19678e-17  1.30813e-19      1
 56.4324  1.15811e-17  1.62366e-19      1
 56.4324  1.18246e-17  1.52064e-19      1
 56.5008  1.16427e-17  1.94859e-19      1
 56.5008  1.17819e-17  1.70177e-19      1
 56.5692  1.14112e-17  1.49063e-19      1
 56.5693  1.17610e-17  1.75221e-19      1
 56.6376  1.19942e-17  1.45862e-19      1
 56.6376  1.16079e-17  1.70262e-19      1
 56.7060  1.15025e-17  1.83503e-19      1
 56.7060  1.17824e-17  2.36170e-19      1
 56.7742  1.15043e-17  1.80838e-19      1
 56.7743  1.19660e-17  1.73002e-19      1
 56.8359  1.13350e-17  1.41372e-19      1
 56.8359  1.18749e-17  2.29097e-19      1
 56.9040  1.13111e-17  1.74575e-19      1
 56.9040  1.15934e-17  1.70082e-19      1
 56.9722  1.14639e-17  1.20836e-19      1
 56.9723  1.19179e-17  1.37476e-19      1
 57.0319  1.19708e-17  8.43960e-20      2
 57.0319  1.16728e-17  9.74941e-20      2
 57.0404  1.13837e-17  1.34079e-19      1
 57.0405  1.18545e-17  1.73551e-19      1
 57.1086  1.14675e-17  1.37384e-19      1
 57.1086  1.15579e-17  1.54549e-19      1
 57.1118  1.18676e-17  7.30171e-20      2
 57.1118  1.18256e-17  9.41926e-20      2
 57.1767  1.15386e-17  1.45371e-19      1
 57.1768  1.14419e-17  1.95317e-19      1
 57.1915  1.17992e-17  9.37016e-20      2
 57.1915  1.19424e-17  7.68402e-20      2
 57.2449  1.14492e-17  2.06644e-19      1
 57.2449  1.14882e-17  1.75039e-19      1
 57.2710  1.16057e-17  8.39515e-20      2
 57.2710  1.18953e-17  7.75773e-20      2
 57.3129  1.12880e-17  9.15597e-20      1
 57.3130  1.15359e-17  1.57866e-19      1
 57.3504  1.15482e-17  6.27904e-20      2
 57.3504  1.19366e-17  1.24304e-19      2
 57.3810  1.11972e-17  1.99858e-19      1
 57.3810  1.14899e-17  1.50228e-19      1
 57.4296  1.16748e-17  9.52680e-20      2
 57.4297  1.18377e-17  1.14488e-19      2
 57.4490  1.15009e-17  1.83042e-19      1
 57.4490  1.13356e-17  1.61535e-19      1
 57.5009  1.16492e-17  9.16316e-20      2
 57.5010  1.19245e-17  8.84091e-20      2
 57.5170  1.17909e-17  1.53046e-19      1
 57.5171  1.13634e-17  1.17204e-19      1
 57.5799  1.20439e-17  1.24327e-19      2
 57.5799  1.17985e-17  6.84510e-20      2
 57.5850  1.15001e-17  1.37236e-19      1
 57.5850  1.15792e-17  1.30836e-19      1
 57.6530  1.13777e-17  1.64907e-19      1
 57.6530  1.13356e-17  1.47642e-19      1
 57.6587  1.16007e-17  7.62892e-20      2
 57.6587  1.18083e-17  8.26871e-20      2
 57.7209  1.14496e-17  2.08059e-19      1
 57.7209  1.16234e-17  1.41561e-19      1
 57.7374  1.19704e-17  1.26135e-19      2
 57.7374  1.15238e-17  7.35084e-20      2
 57.7822  1.14687e-17  1.15681e-19      1
 57.7822  1.12938e-17  1.60832e-19      1
 57.8159  1.18834e-17  1.12882e-19      2
 57.8159  1.13134e-17  6.64699e-20      2
 57.8500  1.15084e-17  1.66249e-19      1
 57.8500  1.14504e-17  1.33741e-19      1
 57.8943  1.14531e-17  6.23696e-20      2
