#wave = wavelength (um)
#flux = flux (W/cm^2/um)
#stdev = standard deviation of flux measurement (W/cm^2/um)
#det = LWS detector number (0-9)
#line = LWS line number (0-9)
#
#wave    flux         stdev           det   line
101.5458  8.94690e-19  2.78882e-20      5      0
101.6822  9.11261e-19  3.22182e-20      5      0
101.8185  9.43526e-19  3.57852e-20      5      0
101.9547  9.05037e-19  2.58146e-20      5      0
102.0908  9.16036e-19  3.59974e-20      5      0
102.2269  9.22724e-19  2.39600e-20      5      0
102.3629  9.15785e-19  2.01144e-20      5      0
102.4988  9.01700e-19  2.26339e-20      5      0
102.6346  9.29325e-19  1.04615e-20      5      0
102.7704  9.31429e-19  1.62689e-20      5      0
102.9062  9.53745e-19  2.81935e-20      5      0
103.0418  8.70204e-19  7.50322e-21      5      0
103.1774  9.42079e-19  2.83617e-20      5      0
103.3129  9.45120e-19  2.22686e-20      5      0
103.4484  9.30403e-19  3.78548e-20      5      0
103.5838  8.46921e-19  1.91219e-20      5      0
120.8100  4.48219e-19  2.88546e-20      6      0
120.9465  4.12529e-19  1.20025e-20      6      0
121.0829  4.04196e-19  1.07602e-20      6      0
121.2192  4.16240e-19  1.59022e-20      6      0
121.3418  4.24699e-19  6.22864e-21      6      0
121.4779  4.16069e-19  9.60368e-21      6      0
121.6140  4.31681e-19  8.06198e-21      6      0
121.7499  4.06228e-19  5.90560e-21      6      0
121.8858  4.23584e-19  1.36722e-20      6      0
122.0215  4.11440e-19  1.40674e-20      6      0
122.1572  4.11995e-19  7.64394e-21      6      0
122.2929  4.07248e-19  1.14432e-20      6      0
122.4284  4.07357e-19  7.59406e-21      6      0
122.5639  3.92311e-19  6.61942e-21      6      0
122.6992  4.02177e-19  1.06938e-20      6      0
122.8345  4.05662e-19  1.25469e-20      6      0
122.9698  4.11509e-19  7.68165e-21      6      0
123.1049  4.20509e-19  1.51761e-20      6      0
123.2400  4.17400e-19  1.59265e-20      6      0
123.3750  4.42579e-19  2.91360e-20      6      0
140.4288  2.67218e-19  1.45855e-20      7      0
140.5629  2.74792e-19  8.52803e-21      7      0
140.6969  2.84442e-19  1.04103e-20      7      0
140.8307  2.78240e-19  1.07436e-20      7      0
140.9511  2.90273e-19  1.06063e-20      7      0
141.0847  2.69926e-19  1.58282e-21      7      0
141.2183  2.76451e-19  1.17708e-20      7      0
141.3517  2.87218e-19  7.01610e-21      7      0
141.4851  2.71955e-19  9.59914e-21      7      0
141.6184  2.77541e-19  1.89233e-21      7      0
141.7516  2.59477e-19  9.49260e-21      7      0
141.8846  2.70798e-19  6.25019e-21      7      0
142.0176  2.63546e-19  4.37295e-21      7      0
142.1506  2.68721e-19  4.70962e-21      7      0
142.2834  2.71856e-19  8.25019e-21      7      0
142.4161  2.80993e-19  7.71931e-21      7      0
142.5488  2.83994e-19  6.77222e-21      7      0
142.6813  2.64645e-19  4.86950e-21      7      0
142.8138  2.71285e-19  3.76169e-21      7      0
142.9462  2.85996e-19  5.93039e-21      7      0
159.2235  2.83993e-19  2.12702e-20      8      0
159.3530  2.84175e-19  1.45625e-20      8      0
159.4823  2.91549e-19  1.02959e-20      8      0
159.6116  2.99691e-19  1.46649e-20      8      0
159.7278  2.95612e-19  1.08103e-20      8      0
159.8568  3.08648e-19  1.40842e-20      8      0
159.9857  3.11995e-19  1.16707e-20      8      0
160.1145  3.29124e-19  1.27605e-20      8      0
160.2433  4.13229e-19  9.17289e-21      8      0
160.3718  4.75058e-19  1.54271e-20      8      0
160.5003  4.83830e-19  1.42761e-20      8      0
160.6288  5.02736e-19  1.22325e-20      8      0
160.7570  4.72521e-19  1.19870e-20      8      0
160.8853  4.10821e-19  5.33562e-21      8      0
161.0134  3.32979e-19  1.21923e-20      8      0
